"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","445","GetFranchiseList - status is boolean","API_Regression_Suite","Thu Oct 23 09:00:18 UTC 2025","passed","Thu Oct 23 09:00:19 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","546","GetFranchiseList - country is number","API_Regression_Suite","Thu Oct 23 09:00:12 UTC 2025","passed","Thu Oct 23 09:00:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","442","GetFranchiseList - all params as null","API_Regression_Suite","Thu Oct 23 09:00:22 UTC 2025","passed","Thu Oct 23 09:00:22 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","528","GetFranchiseList - country is array","API_Regression_Suite","Thu Oct 23 09:00:16 UTC 2025","passed","Thu Oct 23 09:00:17 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","425","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Thu Oct 23 09:00:24 UTC 2025","passed","Thu Oct 23 09:00:24 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","539","GetFranchiseList - page_size is object","API_Regression_Suite","Thu Oct 23 09:00:11 UTC 2025","failed","Thu Oct 23 09:00:12 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","536","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Thu Oct 23 09:00:19 UTC 2025","passed","Thu Oct 23 09:00:20 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","464","GetFranchiseList - status is object","API_Regression_Suite","Thu Oct 23 09:00:20 UTC 2025","passed","Thu Oct 23 09:00:20 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","531","GetFranchiseList - page_size is null","API_Regression_Suite","Thu Oct 23 09:00:07 UTC 2025","failed","Thu Oct 23 09:00:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1748","GetFranchiseList","API_Regression_Suite","Thu Oct 23 08:59:49 UTC 2025","passed","Thu Oct 23 08:59:50 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
"","537","GetFranchiseList - country is boolean","API_Regression_Suite","Thu Oct 23 09:00:13 UTC 2025","passed","Thu Oct 23 09:00:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","505","GetFranchiseList - country is SQL injection","API_Regression_Suite","Thu Oct 23 09:00:21 UTC 2025","passed","Thu Oct 23 09:00:22 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
